iter	Passed	Remaining
0	1	169
1	3	174
2	5	164
3	6	148
4	7	146
5	9	147
6	11	147
7	12	141
8	13	138
9	17	157
10	18	153
11	20	151
12	22	147
13	23	144
14	24	140
15	26	137
16	27	134
17	29	133
18	30	131
19	32	129
20	34	130
21	36	129
22	38	127
23	39	124
24	40	122
25	42	119
26	43	117
27	45	117
28	47	117
29	49	115
30	51	113
31	52	111
32	53	109
33	55	107
34	56	105
35	58	103
36	60	103
37	62	101
38	63	99
39	65	97
40	66	95
41	66	92
42	68	90
43	69	88
44	71	87
45	72	85
46	74	83
47	75	82
48	77	80
49	78	78
50	80	77
51	81	75
52	84	74
53	85	72
54	86	70
55	87	68
56	91	68
57	92	67
58	94	65
59	96	64
60	97	62
61	99	60
62	100	58
63	101	57
64	102	55
65	104	53
66	106	52
67	107	50
68	108	48
69	109	47
70	110	45
71	112	43
72	113	41
73	114	40
74	115	38
75	117	37
76	118	35
77	120	33
78	121	32
79	123	30
80	125	29
81	126	27
82	127	26
83	129	24
84	130	23
85	131	21
86	133	19
87	134	18
88	135	16
89	137	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	146	4
97	148	3
98	149	1
99	150	0
