iter	Passed	Remaining
0	162	161917
1	163	81665
2	165	54969
3	169	42289
4	173	34517
5	174	28987
6	245	34775
7	250	31047
8	254	27990
9	256	25361
10	257	23177
11	260	21409
12	261	19880
13	268	18943
14	272	17922
15	274	16889
16	276	15971
17	283	15467
18	287	14846
19	289	14166
20	291	13601
21	293	13042
22	359	15277
23	369	15021
24	371	14469
25	375	14066
26	384	13863
27	390	13555
28	397	13319
29	399	12915
30	401	12541
31	404	12221
32	408	11979
33	412	11714
34	413	11411
35	415	11129
36	417	10876
37	419	10629
38	423	10424
39	426	10226
40	428	10017
41	430	9809
42	431	9608
43	443	9642
44	445	9453
45	456	9469
46	460	9332
47	461	9162
48	463	8996
49	471	8957
50	473	8810
51	475	8668
52	477	8526
53	478	8390
54	484	8322
55	489	8244
56	490	8118
57	493	8011
58	511	8159
59	523	8208
60	525	8089
61	527	7980
62	541	8052
63	543	7943
64	546	7855
65	548	7755
66	549	7653
67	551	7553
68	552	7457
69	554	7366
70	555	7274
71	557	7188
72	559	7101
73	562	7037
74	564	6958
75	565	6874
76	566	6791
77	567	6712
78	569	6637
79	572	6582
80	575	6527
81	577	6462
82	577	6384
83	579	6315
84	580	6247
85	581	6181
86	582	6116
87	584	6054
88	585	5992
89	587	5936
90	588	5882
91	589	5822
92	591	5771
93	593	5716
94	594	5662
95	595	5609
96	597	5557
97	598	5505
98	599	5453
99	600	5403
100	602	5360
101	603	5314
102	604	5266
103	614	5290
104	615	5249
105	619	5224
106	620	5182
107	628	5193
108	630	5153
109	632	5113
110	633	5077
111	635	5035
112	639	5021
113	645	5020
114	647	4985
115	649	4947
116	650	4906
117	651	4869
118	654	4845
119	656	4817
120	658	4784
121	659	4748
122	661	4715
123	662	4682
124	663	4647
125	665	4614
126	666	4578
127	667	4546
128	674	4551
129	675	4521
130	677	4494
131	679	4469
132	681	4440
133	682	4412
134	688	4414
135	690	4388
136	692	4361
137	693	4334
138	695	4307
139	696	4281
140	698	4255
141	699	4227
142	701	4204
143	703	4182
144	705	4162
145	707	4138
146	708	4112
147	710	4087
148	711	4062
149	712	4037
150	718	4038
151	720	4020
152	721	3996
153	723	3972
154	724	3948
155	725	3925
156	726	3902
157	727	3878
158	730	3863
159	732	3845
160	733	3823
